age,income,loan_amount,credit_score,employment_years,debt_to_income,gender,ethnicity,loan_approved
56,81788,30634,438,19,0.34594973337320245,Male,White,0
69,102879,14168,572,33,0.4985379396257498,Male,Black,0
46,58827,25961,780,15,0.05954273475081254,Male,Black,1
32,127188,49096,715,24,0.40295340898995574,Male,Black,1
60,25655,28852,805,11,0.1461001042024809,Female,Black,0
25,64859,38110,723,6,0.45918014002539354,Male,Asian,1
38,73625,37174,706,38,0.5099236898089469,Female,Black,1
56,72098,39215,689,16,0.44536740524228313,Female,Hispanic,0
36,35251,31955,641,10,0.5906364083826462,Male,Hispanic,0
40,142413,11581,792,5,0.2684873953927211,Female,Hispanic,1
28,20526,49619,491,22,0.6120852733065048,Female,Asian,0
28,88760,11317,798,26,0.34621366536655496,Female,Black,1
41,67837,47856,532,5,0.38734759865807744,Male,Hispanic,1
53,145133,31649,526,37,0.5184817018088571,Male,Hispanic,0
57,149478,28132,670,1,0.014686707199379168,Male,Hispanic,0
41,31536,21789,438,21,0.5231953771361987,Male,Hispanic,0
20,48541,19567,448,19,0.4948681192576923,Male,White,0
39,99083,19868,414,24,0.24787769340262394,Male,Black,1
19,71027,29370,749,14,0.06863542791959158,Male,Black,1
41,54531,47533,362,28,0.07274835993043292,Female,Asian,0
61,28712,35483,403,7,0.7385789975881829,Female,White,0
47,124101,17466,572,36,0.5514234569806697,Male,Asian,0
55,85455,33803,305,32,0.10168209101659231,Female,Hispanic,1
19,94744,23230,446,21,0.2853785354471251,Male,Asian,1
38,141787,22862,483,4,0.47398639512127716,Male,Hispanic,1
50,149749,48355,327,38,0.668457364072519,Male,Hispanic,1
29,25109,36259,849,17,0.03492874297040682,Female,Black,1
39,141332,38539,418,37,0.1893065051760071,Male,Black,1
61,69268,26909,592,36,0.7117991922363041,Male,Black,0
42,120737,35795,670,29,0.007332440147053188,Male,Black,1
66,74615,13770,543,30,0.16111928223510993,Male,Black,0
44,102503,16093,517,9,0.7672193407783728,Female,White,0
59,143274,5193,476,14,0.4907214772177369,Male,Black,1
45,49759,39775,598,17,0.20933709331000516,Female,Asian,0
33,105708,22569,357,22,0.05359287551667809,Female,Hispanic,1
32,80112,16190,568,32,0.022553072357777728,Male,Black,0
64,122471,47752,607,15,0.19579606370954183,Male,White,1
68,146740,37327,587,37,0.7051886556711284,Female,Asian,0
61,143153,47070,404,34,0.3327309234380076,Female,Asian,0
69,46589,25389,527,33,0.5762666953327944,Female,Hispanic,0
20,50015,45197,546,27,0.7346280283039662,Female,Asian,0
54,49009,7261,793,1,0.3264323692822533,Male,Asian,0
